N	S	F
1737	3449.000000	2982.240265
1666	5006.000000	2985.407845
1738	5656.000000	2993.266109
1652	6055.000000	3002.087440
1760	5903.000000	3008.468880
1755	4833.000000	3012.905740
1680	3132.000000	3022.737832
1774	1498.000000	3036.959993
1799	-174.000000	3056.854265
1822	-1361.000000	3073.582763
1865	-1812.000000	3080.411336
1789	-2039.000000	3085.927575
1799	-2103.000000	3091.427340
1906	-2268.000000	3101.578308
1835	-2931.000000	3115.438492
1891	-3877.000000	3127.205941
1884	-4147.000000	3137.672864
1923	-3924.000000	3147.399879
1925	-2949.000000	3152.609871
1902	-833.000000	3154.965768
1918	2192.000000	3156.420441
1884	5033.000000	3162.769198
1887	7519.000000	3174.670219
1954	9581.000000	3185.611872
1959	10630.000000	3197.311058
1895	9865.000000	3208.591436
1951	7891.000000	3220.962744
2022	5268.000000	3236.887394
2054	1799.000000	3254.432516
2034	-2041.000000	3277.743889
2024	-4193.000000	3302.862546
2258	-4561.000000	3322.905807
2156	-3680.000000	3338.547289
2078	-1032.000000	3349.510412
2178	3282.000000	3359.357974
2171	7197.000000	3377.501295
2188	10700.000000	3401.165094
2219	14099.000000	3424.965547
2231	17181.000000	3451.759117
2268	20558.000000	3482.617406
2341	25847.000000	3518.803348
2393	33062.000000	3565.308963
2339	42463.000000	3617.520836
2535	53821.000000	3674.491938
2525	65565.000000	3740.206812
2577	75884.000000	3816.912103
2729	83223.000000	3909.611618
2829	85701.000000	4020.434678
3137	81843.000000	4143.396795
3301	71521.000000	4275.252390
3572	54037.000000	4412.572152
3873	29985.000000	4552.790024
4201	64.000000	4693.393442
4569	-34140.000000	4826.460194
4850	-71525.000000	4949.307325
5098	-108645.000000	5058.540600
5512	-143008.000000	5153.652103
5611	-171203.000000	5230.372549
5867	-190993.000000	5279.637393
5853	-199673.000000	5291.927532
5878	-196591.000000	5272.021149
5645	-181637.000000	5227.134301
5453	-156635.000000	5165.275888
5270	-122835.000000	5085.407063
5004	-83158.000000	4977.225331
4688	-41836.000000	4842.951166
4029	-2524.000000	4693.843201
3851	32430.000000	4543.285155
3631	59509.000000	4401.205630
3247	77239.000000	4269.307555
3062	86748.000000	4140.522431
2831	89437.000000	4018.833537
2769	86610.000000	3911.219247
